gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.00016284031978082284
SPTBN2	9606.ENSP00000432568	0.0003972233621084429
KIF13B	9606.ENSP00000427900	0.00010673173254969672
AP1B1	9606.ENSP00000350199	0.0003201475593799308
KIF21A	9606.ENSP00000354878	0.00010808113632959904
TMED7	9606.ENSP00000405926	0.00021210535945371227
ARFGAP1	9606.ENSP00000314615	0.00019223581679505785
ANK2	9606.ENSP00000349588	0.00012353331438331357
KLC1	9606.ENSP00000414982	0.0003762846779862831
COPZ2	9606.ENSP00000480707	0.00021158642437820997
KIF15	9606.ENSP00000324020	0.0004012983054019057
DCTN5	9606.ENSP00000300087	0.0003802478696936795
KIF2B	9606.ENSP00000268919	0.00042051281315144776
KIF16B	9606.ENSP00000384164	0.00010334526553948781
KIF25	9606.ENSP00000388878	0.00010451789114512171
KDELR2	9606.ENSP00000258739	0.00018992442076316916
RAB1B	9606.ENSP00000310226	0.00027007099055342197
TMED10	9606.ENSP00000303145	0.00023410888637902293
KIF3B	9606.ENSP00000364864	0.000377727782408116
RACGAP1	9606.ENSP00000404190	0.00041724565702045124
SPTBN4	9606.ENSP00000263373	0.00013081161263899874
GBF1	9606.ENSP00000359000	0.00015985686135848014
DYNC1I2	9606.ENSP00000380308	0.0004989510081946928
INS	9606.ENSP00000380432	0.0006674081486481349
CYTH3	9606.ENSP00000297044	1.8634493651879335e-05
CAPZB	9606.ENSP00000401010	0.0004086959026074483
RAB11FIP3	9606.ENSP00000262305	2.0116471754490593e-05
ACAP2	9606.ENSP00000324287	2.874311327284274e-06
KIF3C	9606.ENSP00000264712	0.00037516055400136007
DYNC1LI1	9606.ENSP00000273130	0.00046049279128428143
KIFAP3	9606.ENSP00000354560	0.000378369654363572
COPA	9606.ENSP00000357048	0.0002581677904922139
YKT6	9606.ENSP00000223369	0.00019122922072193913
COPB1	9606.ENSP00000249923	0.0003163742523518585
IQSEC1	9606.ENSP00000480301	2.040191398983515e-05
KIF20A	9606.ENSP00000378356	0.0004202372288241101
SURF4	9606.ENSP00000361057	0.00018061366693803427
GGA1	9606.ENSP00000341344	3.672880992643586e-05
CDC5L	9606.ENSP00000360532	0.0002988843980983136
DYNC1I1	9606.ENSP00000320130	0.0004592401472406579
RAB1A	9606.ENSP00000387286	0.0002732102701546803
ACTR1A	9606.ENSP00000358921	0.00043283478347523466
CAPZA2	9606.ENSP00000354947	0.0003912477372706804
CAPZA1	9606.ENSP00000263168	0.00040463227723004983
CD59	9606.ENSP00000379191	0.00030842095262523597
SPTBN5	9606.ENSP00000317790	0.00013032636458562357
FOLR1	9606.ENSP00000377284	0.00014950536361612045
USO1	9606.ENSP00000444850	0.00014841112663491624
CENPE	9606.ENSP00000265148	0.00045716059210451783
KIFC1	9606.ENSP00000393963	0.00013507492206742106
KIF9	9606.ENSP00000333942	0.00012063959196438208
KIF4A	9606.ENSP00000363524	0.0004196957602495692
KIF27	9606.ENSP00000297814	0.00010568081386333957
ARF1	9606.ENSP00000440005	0.0004925375679371969
ARF3	9606.ENSP00000256682	0.0001707113318280857
KLC2	9606.ENSP00000399403	0.00036686628153771657
KIF21B	9606.ENSP00000411831	0.0001097088716417412
DCTN4	9606.ENSP00000414906	0.00037388858483702344
KIF6	9606.ENSP00000287152	0.00010372059742922064
KIF18B	9606.ENSP00000465992	0.00012131721411345951
KIF1A	9606.ENSP00000438388	0.0001126550809790709
KIF26A	9606.ENSP00000388241	0.0003497337695311459
KIF5A	9606.ENSP00000408979	0.0003687586669279544
TMED3	9606.ENSP00000299705	0.00021300332037142662
ACTR10	9606.ENSP00000254286	0.00043180023130167126
KIF20B	9606.ENSP00000360793	0.00011950665849368759
DYNC1LI2	9606.ENSP00000258198	0.00046101148263591614
ARFIP2	9606.ENSP00000484121	1.401845788904731e-05
TMED9	9606.ENSP00000330945	0.00017312998249510378
ANK1	9606.ENSP00000265709	0.0001308169817894518
ARF4	9606.ENSP00000306010	0.00016483941042941808
ASAP2	9606.ENSP00000281419	2.5742922806481083e-05
CD55	9606.ENSP00000356030	0.00010252368832125238
SPTAN1	9606.ENSP00000361824	0.0002743408662322915
RAB11A	9606.ENSP00000261890	0.00014549344223662773
KIF4B	9606.ENSP00000387875	0.00037805815751954094
KIF18A	9606.ENSP00000263181	0.0004342361263375305
KLC3	9606.ENSP00000375810	0.00036004906276639796
DCTN3	9606.ENSP00000259632	0.00042948981790830165
KIF19	9606.ENSP00000374566	0.0001033452655394878
KIF23	9606.ENSP00000260363	0.00040805953262073685
BET1	9606.ENSP00000222547	0.00015766473680781565
KDELR1	9606.ENSP00000329471	0.00019568153717894432
ANK3	9606.ENSP00000280772	0.00011941379510020775
DYNC1H1	9606.ENSP00000348965	0.0005781349055697086
