pathway	gene_id
TGFb	TGFB1,TGFBR1,TGFBR2,TGFB2,TGFB3,ACVR1B,ACVR1C,ACVR1,FST,LEFTY1,BAMBI,THBS1,LEFTY2,INHBA,INHBB,INHBC,INHBE,FMOD,DCN,LTBP1,EMILIN1
BMP	BMP2,BMPR1A,ACVR2A,ACVR2B,BMPR2,BMPR1B,BMP4,GDF5,GDF6,GDF7,BMP15,BMP5,ACVR1,BMP6,BMP7,BMP8A,BMP8B,NBL1,BAMBI,GREM1,GREM2,CHRD,NOG,BMP3,LEFTY1,LEFTY2
BMP10	BMP10,ACVRL1,BMPR2,ACVR2A,GDF2,ENG
GDF	GDF9,ACVR1B,BMPR2,GDF10,ACVR2A,GDF11,TGFBR1,ACVR2B,GDF15,TGFBR2
MSTN	MSTN,TGFBR1,ACVR2B,ACVR1B,ACVR2A
AMH	AMH,AMHR2,ACVR1,BMPR1A
GDNF	GDNF,GFRA1,NRTN,GFRA2,ARTN,GFRA3,PSPN,GFRA4
NODAL	NODAL,ACVR1B,ACVR2A,ACVR1C,ACVR2B,GDF1,GDF3,FST,LEFTY1,LEFTY2,INHBA,INHBB,INHBC,INHBE
ACTIVIN	INHBA,ACVR1B,ACVR2A,ACVR2B,INHBB,ACVR1C,INHBC,INHBE,INHBABB,INHB,INHABA,INHABB,FST,BAMBI
WNT	WNT1,FZD1,LRP5,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,WNT10A,WNT10B,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,LRP6,PORCN,DKK1,BAMBI,ZNRF3,RSPO1,DKK2,RNF43,RSPO2,DKK4,APCDD1,RSPO3,SERPINF1,RSPO4,SOST,WIF1,CER1,NOTUM,SFRP1,SFRP2,SFRP4,SFRP5,IGFBP4,DRAXIN,SOSTDC1,FRZB
ncWNT	WNT5A,FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,MCAM,WNT5B,WNT11,RYK,ROR2,ROR1
EGF	EGF,EGFR,ERBB2,TGFA,AREG,BTC,ERBB4,HBEGF,EREG
NRG	NRG1,ERBB3,ERBB2,ERBB4,NRG2,NRG3,NRG4,ITGAV,ITGB3
FGF	FGF1,FGFR1,FGFR2,FGFR3,FGFR4,FGF2,FGF4,FGF5,FGF6,FGF7,FGF3,FGF10,FGF22,FGF8,FGF17,FGF18,FGF9,FGF20,FGF16,FGF15,FGF21,FGF23,KLB,KL,IL17RD
PDGF	PDGFA,PDGFRA,PDGFRB,PDGFB,PDGFC,PDGFD,SPARC
