feature	GSM3995405	GSM3995404	GSM3995402	GSM3995428	GSM3995427	GSM3995426	GSM3995425	GSM3995424	GSM3995423	GSM3995422	GSM3995421	GSM3995417	GSM3995416	GSM3995415	GSM3995414	GSM3995411	GSM3995410	GSM3995408	GSM3995407	GSM3995406	GSM3995403	GSM3995420	GSM3995419	GSM3995418	GSM3995413	GSM3995412	GSM3995409
ANGPT.EpithelialCells_to_EndothelialCells	0.036438634311137405	0.026148810878440686	0.05142246661523821	0.012664734391854933	0.02306702682809392	0.03182387316152544	0.02667901234702891	0.04815046738313924	0.03835850438431075	0.030840462655786643	0.04665916841571801	0.05364265873881032	0.03605763824332705	0.02826998444907438	0.023726636503308998	0.02782675907220168	0.03047820925978463	0.03506861846033021	0.03376581534179836	0.031870494171113005	0.02802699691192306	0.03210437504397532	0.02412459180375541	0.03265633846921602	0.0322072271892493	0.03219793323618335	0.029478475988229266
ANGPT.EpithelialCells_to_Fibroblasts	0.038671721485823596	0.028085706658350154	0.037281499825926906	0.02315076649241214	0.023225567969503758	0.03730341990304472	0.027028427316484097	0.023438760130228956	0.04771271783236694	0.033948682101431066	0.04273460403324081	0.035698124950214745	0.019639524352367297	0.025064063664406132	0.03981003379982225	0.03016652957633415	0.03378636372225545	0.03175666130511375	0.036990679073254235	0.036938259956234065	0.036497799991005844	0.03393523484121404	0.03081394912220829	0.03497406963532461	0.033724251594931955	0.03374087908230287	0.029068250250620715
ANGPT.EpithelialCells_to_ImmuneCells	0.01576408678828869	0.012374713166937213	0.02248977686255928	-0.0035869973814935804	0.00849210142486349	0.007332860219071151	0.010429985350702381	0.0006265004216057811	0.017433535540187537	0.01071126874952725	0.022432104832671447	0.028854957725273404	0.010041780772359716	0.015943694714178877	0.008422348998541433	0.012173885238407709	0.020557873828576042	-0.011507284083129996	0.011681184658411224	0.011788135266663204	0.0038617246119034463	0.011609647230657433	0.002203641053698888	0.015957953029188062	0.011407203837722065	0.01140298637141692	0.009664991452134043
ANGPT.Fibroblasts_to_EndothelialCells	0.1620826903159113	0.1348818068344247	0.15941597174208785	0.13902173334119047	0.15797183073169463	0.14645158902116268	0.17140134629288528	0.12803805270068092	0.14965356444835776	0.15166012964762496	0.15496706050059045	0.12931241913748084	0.13703399122086152	0.12033733642758562	0.15465185249502136	0.15297299634840797	0.14458716296550483	0.1394734673298355	0.14808396696028514	0.14509890852695725	0.15435349988028244	0.15336684411274223	0.13814846443001053	0.13864722171716856	0.15303015215449364	0.15305464979305886	0.14621302122812715
ANGPT.Fibroblasts_to_Fibroblasts	0.16639194431237084	0.18046218191314933	0.15356339210703196	0.17953077187955244	0.18298104370974339	0.16749709531181503	0.18646828512352615	0.1300045716011102	0.16042494532615972	0.17454319681723943	0.16701656462837525	0.156085197628389	0.15292327079184512	0.1331393155919472	0.18303949419896315	0.17527219661472243	0.1671484539341397	0.12232784971228146	0.15183425808402942	0.16458478256980766	0.1768659745622824	0.17288119479153186	0.1621174965191428	0.17050577329368743	0.17235737125062173	0.17239971982982868	0.15890176775722817
ANGPT.Fibroblasts_to_ImmuneCells	0.11321459502631032	0.09843888603812814	0.10046747777368774	0.10486115668237234	0.12058123563514932	0.09780509678465804	0.1296247678341554	0.06120959473789839	0.10109518364392134	0.10666818108052939	0.1010368208642657	0.07558595920771899	0.08755470728584305	0.08405795677030543	0.11532309010729169	0.11296994193392709	0.10788171259868003	0.0732261383254441	0.1007544441571774	0.10058092785777047	0.10705154715998813	0.10750188968601083	0.09545808828435651	0.09755420934778126	0.10692087104059898	0.1069498023061017	0.10269524523522808
ANGPTL.EndothelialCells_to_EndothelialCells	-0.0031228624446267093	-0.0009370458732434321	-0.00037564502162891104	-0.00296386026620563	-0.0038688219664406646	-0.0038891143059748994	-5.6466148117436615e-05	-0.0008173092668378826	-0.0026957338810222995	-0.0031103437446971835	-0.002656434764812247	-0.005522195479287833	-0.00263766495225978	-0.002777960972643599	-0.0014630504541194697	-0.004122727927463938	-0.0031649159790127523	-0.0031816712586233025	-0.0030801343728487406	-0.0027992280945054304	-0.003012898534422082	-0.0031256809558090374	-0.0021932862733950627	-0.002789793662881393	-0.003065304316828199	-0.003065456940589153	-0.002697056767882665
ANGPTL.EndothelialCells_to_EpithelialCells	-0.0031228624446267093	-0.0009370458732434321	-0.00037564502162891104	-0.00296386026620563	-0.0038688219664406646	-0.0038891143059748994	-5.6466148117436615e-05	-0.0008173092668378826	-0.0026957338810222995	-0.0031103437446971835	-0.002656434764812247	-0.005522195479287833	-0.00263766495225978	-0.002777960972643599	-0.0014630504541194697	-0.004122727927463938	-0.0031649159790127523	-0.0031816712586233025	-0.0030801343728487406	-0.0027992280945054304	-0.003012898534422082	-0.0031256809558090374	-0.0021932862733950627	-0.002789793662881393	-0.003065304316828199	-0.003065456940589153	-0.002697056767882665
ANGPTL.EndothelialCells_to_ImmuneCells	0.0016800392153373046	-0.005664803421159291	-0.01224180431870394	-0.003234899087595121	-0.02394384009362528	-0.012431920559419064	-0.008723089151692032	-0.020057707006438785	0.014726560042919463	-0.009477147142363293	-0.0230308259310141	-0.011203948924045097	-0.009086135889211894	-0.029354478118623507	0.012515178728606186	-0.018666884404631646	0.004166695707770746	0.006672401929732216	-0.02775124212200032	-0.012334173898350544	-0.010627799722384177	-0.010601074621781217	-0.00570926924326904	-0.004033357939104664	-0.010445603694856599	-0.010434495272346156	-0.013455684050582206
ANGPTL.EpithelialCells_to_EndothelialCells	0.0005712920266021074	-0.002631316347324058	-0.04356239496437708	-0.014109520627940901	-0.02656009181988265	0.006129644337572985	-0.013867715562260456	-0.0075077434216997765	-0.0033997734027269937	-0.005532178101661842	0.00751777810308663	0.03271627061005698	0.0023433759191941778	0.018164447450343246	-0.019581282470319938	-0.00591136975616695	0.002481628793796828	-0.012956468439015	0.008973209930009404	-0.00990350405823275	0.008158219445673942	-0.0046268893121424225	-0.013431515674175592	0.023066969392551588	-0.004133931808630576	-0.004127659644739938	-0.004609319486140979
